#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/186193195/ccs	893	50.28	24.47	5C
m84073_231201_024147_s2/186257738/ccs	1213	52.93	40.00	5C
m84073_231201_024147_s2/186520799/ccs	1219	53.73	26.27	5C
m84073_231201_024147_s2/169481934/ccs	87	29.89	27.91	5C
m84073_231201_024147_s2/169611390/ccs	892	50.34	38.26	5C
m84073_231201_024147_s2/187110321/ccs	654	58.10	32.56	5C
m84073_231201_024147_s2/192024679/ccs	1329	36.34	40.00	5C
m84073_231201_024147_s2/175904079/ccs	892	50.11	21.22	5C
m84073_231201_024147_s2/198383233/ccs	0	0.00	21.22	5C
m84073_231201_024147_s2/198643049/ccs	338	47.93	35.59	5C
m84073_231201_024147_s2/192287636/ccs	345	40.58	37.53	5C
m84073_231201_024147_s2/181407988/ccs	337	47.48	40.00	5C
m84073_231201_024147_s2/198841004/ccs	1082	40.20	34.88	5C
m84073_231201_024147_s2/198906531/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/187830345/ccs	476	53.36	40.00	5C
m84073_231201_024147_s2/176689326/ccs	684	45.47	39.62	5C
m84073_231201_024147_s2/181868431/ccs	354	39.83	40.00	5C
m84073_231201_024147_s2/176886252/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/182324497/ccs	157	53.50	40.00	5C
m84073_231201_024147_s2/177476153/ccs	349	40.11	24.01	5C
m84073_231201_024147_s2/199756824/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/199888384/ccs	298	47.65	40.00	5C
m84073_231201_024147_s2/193662067/ccs	345	40.29	34.80	5C
m84073_231201_024147_s2/178196746/ccs	1411	44.15	20.64	5C
m84073_231201_024147_s2/172100864/ccs	349	42.41	21.87	5C
m84073_231201_024147_s2/200543348/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/178720091/ccs	826	51.45	40.00	5C
m84073_231201_024147_s2/189926826/ccs	348	40.80	27.38	5C
m84073_231201_024147_s2/200742050/ccs	470	52.55	23.45	5C
m84073_231201_024147_s2/194516095/ccs	711	57.38	39.95	5C
m84073_231201_024147_s2/139794181/ccs	1197	58.98	25.25	5C
m84073_231201_024147_s2/183700767/ccs	624	57.05	24.12	5C
m84073_231201_024147_s2/200872806/ccs	624	57.21	40.00	5C
m84073_231201_024147_s2/151458631/ccs	474	55.91	24.18	5C
m84073_231201_024147_s2/201199210/ccs	315	52.06	40.00	5C
m84073_231201_024147_s2/162207120/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/173216508/ccs	733	51.98	40.00	5C
m84073_231201_024147_s2/173281616/ccs	623	56.98	23.40	5C
m84073_231201_024147_s2/195302715/ccs	591	44.50	23.09	5C
m84073_231201_024147_s2/134222592/ccs	346	40.46	39.28	5C
m84073_231201_024147_s2/151981597/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/141036659/ccs	709	53.17	26.56	5C
m84073_231201_024147_s2/146019349/ccs	890	50.22	40.00	5C
m84073_231201_024147_s2/156831139/ccs	199	33.17	40.00	5C
m84073_231201_024147_s2/156832671/ccs	29	62.07	40.00	5C
m84073_231201_024147_s2/156832941/ccs	332	44.58	40.00	5C
m84073_231201_024147_s2/157226714/ccs	892	50.34	40.00	5C
m84073_231201_024147_s2/141954587/ccs	891	50.17	25.48	5C
m84073_231201_024147_s2/163777808/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/157617979/ccs	332	44.58	40.00	5C
m84073_231201_024147_s2/146871309/ccs	158	39.24	22.31	5C
m84073_231201_024147_s2/158011498/ccs	348	39.94	21.36	5C
m84073_231201_024147_s2/142284433/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/164171482/ccs	872	53.33	26.41	5C
m84073_231201_024147_s2/136383830/ccs	354	40.68	40.00	5C
m84073_231201_024147_s2/153751775/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/147591032/ccs	333	44.74	29.94	5C
m84073_231201_024147_s2/143135236/ccs	121	45.45	40.00	5C
m84073_231201_024147_s2/136777110/ccs	678	33.04	23.10	5C
m84073_231201_024147_s2/136908165/ccs	624	57.05	20.66	5C
m84073_231201_024147_s2/159190020/ccs	326	46.93	33.60	5C
m84073_231201_024147_s2/165156174/ccs	29	62.07	39.69	5C
m84073_231201_024147_s2/144118594/ccs	504	60.91	40.00	5C
m84073_231201_024147_s2/137235942/ccs	804	53.11	40.00	5C
m84073_231201_024147_s2/144316087/ccs	508	60.83	39.98	5C
m84073_231201_024147_s2/137301095/ccs	510	60.78	35.28	5C
m84073_231201_024147_s2/144447154/ccs	350	42.57	21.17	5C
m84073_231201_024147_s2/154670625/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/165418859/ccs	892	50.34	40.00	5C
m84073_231201_024147_s2/137434216/ccs	890	50.45	20.46	5C
m84073_231201_024147_s2/137565583/ccs	320	54.06	39.72	5C
m84073_231201_024147_s2/145101279/ccs	640	57.50	38.82	5C
m84073_231201_024147_s2/137891150/ccs	475	56.00	39.98	5C
m84073_231201_024147_s2/106304491/ccs	0	0.00	39.98	5C
m84073_231201_024147_s2/155257937/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/137958786/ccs	891	50.28	27.46	5C
m84073_231201_024147_s2/155326210/ccs	353	41.93	34.15	5C
m84073_231201_024147_s2/106960146/ccs	1068	41.20	25.75	5C
m84073_231201_024147_s2/149624017/ccs	1097	41.02	26.31	5C
m84073_231201_024147_s2/166795147/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/160699948/ccs	623	56.98	40.00	5C
m84073_231201_024147_s2/155915597/ccs	623	57.14	40.00	5C
m84073_231201_024147_s2/139007016/ccs	331	45.02	25.61	5C
m84073_231201_024147_s2/107942186/ccs	908	39.65	23.78	5C
m84073_231201_024147_s2/156504971/ccs	29	62.07	40.00	5C
m84073_231201_024147_s2/108269854/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/128652705/ccs	157	53.50	40.00	5C
m84073_231201_024147_s2/108466389/ccs	11	45.45	40.00	5C
m84073_231201_024147_s2/128980021/ccs	892	50.34	40.00	5C
m84073_231201_024147_s2/108597873/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/161811806/ccs	1067	41.52	25.59	5C
m84073_231201_024147_s2/118165661/ccs	1595	45.08	24.42	5C
m84073_231201_024147_s2/118231961/ccs	622	57.07	30.41	5C
m84073_231201_024147_s2/162010456/ccs	1250	47.44	26.29	5C
m84073_231201_024147_s2/118624251/ccs	623	56.98	22.39	5C
m84073_231201_024147_s2/101256384/ccs	476	53.36	35.09	5C
m84073_231201_024147_s2/129569685/ccs	348	40.52	21.74	5C
m84073_231201_024147_s2/101258905/ccs	634	58.83	40.00	5C
m84073_231201_024147_s2/129570682/ccs	750	58.13	40.00	5C
m84073_231201_024147_s2/101388494/ccs	84	38.10	38.38	5C
m84073_231201_024147_s2/112267552/ccs	318	54.72	40.00	5C
m84073_231201_024147_s2/119279654/ccs	1059	48.73	40.00	5C
m84073_231201_024147_s2/119280055/ccs	892	50.34	27.91	5C
m84073_231201_024147_s2/130288883/ccs	1330	47.67	27.28	5C
m84073_231201_024147_s2/130288865/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/130682927/ccs	509	60.90	27.51	5C
m84073_231201_024147_s2/113118397/ccs	623	56.98	40.00	5C
m84073_231201_024147_s2/109975015/ccs	71	40.85	20.67	5C
m84073_231201_024147_s2/130750051/ccs	892	50.34	22.55	5C
m84073_231201_024147_s2/102241301/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/113315445/ccs	258	44.57	40.00	5C
m84073_231201_024147_s2/113316267/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/113446874/ccs	508	60.83	32.94	5C
m84073_231201_024147_s2/124391609/ccs	732	34.70	27.23	5C
m84073_231201_024147_s2/113710337/ccs	354	40.68	40.00	5C
m84073_231201_024147_s2/120132737/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/114036025/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/120393902/ccs	73	45.21	36.58	5C
m84073_231201_024147_s2/120393834/ccs	157	53.50	40.00	5C
m84073_231201_024147_s2/124915759/ccs	623	56.82	40.00	5C
m84073_231201_024147_s2/120589962/ccs	484	35.54	26.38	5C
m84073_231201_024147_s2/125177912/ccs	669	45.89	25.75	5C
m84073_231201_024147_s2/131665253/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/125308675/ccs	510	60.78	40.00	5C
m84073_231201_024147_s2/125373607/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/131798441/ccs	347	40.06	23.04	5C
m84073_231201_024147_s2/121179181/ccs	346	43.93	40.00	5C
m84073_231201_024147_s2/125571285/ccs	354	40.40	40.00	5C
m84073_231201_024147_s2/125571926/ccs	349	42.41	39.74	5C
m84073_231201_024147_s2/125898866/ccs	0	0.00	39.74	5C
m84073_231201_024147_s2/132322287/ccs	634	58.83	25.41	5C
m84073_231201_024147_s2/132322301/ccs	951	48.05	40.00	5C
m84073_231201_024147_s2/121573220/ccs	355	47.32	26.23	5C
m84073_231201_024147_s2/73077014/ccs	1082	40.94	29.38	5C
m84073_231201_024147_s2/115282309/ccs	635	58.90	31.21	5C
m84073_231201_024147_s2/121704846/ccs	344	40.12	20.74	5C
m84073_231201_024147_s2/132582960/ccs	349	42.41	33.99	5C
m84073_231201_024147_s2/104008756/ccs	346	40.46	34.08	5C
m84073_231201_024147_s2/121837203/ccs	733	51.84	40.00	5C
m84073_231201_024147_s2/121967072/ccs	1224	33.25	21.98	5C
m84073_231201_024147_s2/132716124/ccs	724	47.10	40.00	5C
m84073_231201_024147_s2/126620243/ccs	636	58.96	25.80	5C
m84073_231201_024147_s2/104927566/ccs	1068	41.39	39.25	5C
m84073_231201_024147_s2/122492216/ccs	623	56.98	40.00	5C
m84073_231201_024147_s2/122555662/ccs	29	62.07	34.83	5C
m84073_231201_024147_s2/122558275/ccs	339	47.79	40.00	5C
m84073_231201_024147_s2/105125768/ccs	696	55.32	27.36	5C
m84073_231201_024147_s2/74584564/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/74648942/ccs	891	49.94	24.85	5C
m84073_231201_024147_s2/74649472/ccs	349	42.41	24.71	5C
m84073_231201_024147_s2/116658737/ccs	165	55.15	24.11	5C
m84073_231201_024147_s2/123014648/ccs	73	45.21	20.33	5C
m84073_231201_024147_s2/127604023/ccs	508	60.83	40.00	5C
