#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/263261896/ccs	487	47.84	28.56	5E_control
m84073_231201_024147_s2/240782529/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/257691481/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235212465/ccs	482	48.13	39.65	5E_control
m84073_231201_024147_s2/235212320/ccs	467	45.82	40.00	5E_control
m84073_231201_024147_s2/235212639/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/246419390/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/246418843/ccs	484	48.35	39.83	5E_control
m84073_231201_024147_s2/252056271/ccs	481	48.02	38.10	5E_control
m84073_231201_024147_s2/252055866/ccs	483	48.45	34.18	5E_control
m84073_231201_024147_s2/246484881/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/252056219/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235214188/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/252056783/ccs	662	43.96	30.62	5E_control
m84073_231201_024147_s2/240785144/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/240784096/ccs	483	48.45	40.00	5E_control
m84073_231201_024147_s2/257692348/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/246485994/ccs	104	42.31	40.00	5E_control
m84073_231201_024147_s2/246486377/ccs	483	48.45	35.12	5E_control
m84073_231201_024147_s2/263263051/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/257692587/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/240848882/ccs	665	43.76	37.89	5E_control
m84073_231201_024147_s2/240849201/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252121173/ccs	481	48.23	27.67	5E_control
m84073_231201_024147_s2/252121120/ccs	665	43.61	30.69	5E_control
m84073_231201_024147_s2/240850387/ccs	485	48.25	23.24	5E_control
m84073_231201_024147_s2/252121954/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/257822679/ccs	662	43.96	35.69	5E_control
m84073_231201_024147_s2/235279511/ccs	665	44.06	36.01	5E_control
m84073_231201_024147_s2/257758759/ccs	482	48.13	39.80	5E_control
m84073_231201_024147_s2/235343356/ccs	662	44.11	22.85	5E_control
m84073_231201_024147_s2/257758590/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235344493/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/257823268/ccs	663	44.04	23.42	5E_control
m84073_231201_024147_s2/235344665/ccs	482	48.34	39.98	5E_control
m84073_231201_024147_s2/263393054/ccs	482	48.13	35.12	5E_control
m84073_231201_024147_s2/246551239/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235345115/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/263394059/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/246551006/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/252122745/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252186601/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/246550886/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/246550710/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/252186696/ccs	722	42.66	40.00	5E_control
m84073_231201_024147_s2/252186074/ccs	665	43.61	23.22	5E_control
m84073_231201_024147_s2/240916291/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235409835/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/263459714/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/257953075/ccs	665	43.76	40.00	5E_control
m84073_231201_024147_s2/240980262/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/240915348/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/257888871/ccs	481	48.23	40.00	5E_control
m84073_231201_024147_s2/235411085/ccs	341	42.52	35.68	5E_control
m84073_231201_024147_s2/246616660/ccs	665	43.61	38.87	5E_control
m84073_231201_024147_s2/257888701/ccs	664	43.98	40.00	5E_control
m84073_231201_024147_s2/235474451/ccs	661	43.72	18.94	5E_control
m84073_231201_024147_s2/240979509/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/235411216/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/240980148/ccs	484	48.35	40.00	5E_control
m84073_231201_024147_s2/235474351/ccs	664	43.98	30.68	5E_control
m84073_231201_024147_s2/240979338/ccs	482	48.13	39.98	5E_control
m84073_231201_024147_s2/241044943/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/246616893/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/246617403/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/257955014/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252253466/ccs	481	48.02	39.83	5E_control
m84073_231201_024147_s2/252253351/ccs	482	48.13	40.00	5E_control
m84073_231201_024147_s2/246616898/ccs	665	43.76	39.88	5E_control
m84073_231201_024147_s2/241045301/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/252317636/ccs	666	43.69	30.69	5E_control
m84073_231201_024147_s2/241046795/ccs	665	43.61	36.02	5E_control
m84073_231201_024147_s2/241044829/ccs	665	43.61	39.99	5E_control
m84073_231201_024147_s2/252317556/ccs	485	47.63	30.89	5E_control
m84073_231201_024147_s2/252316735/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/241110107/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/252317450/ccs	483	48.24	39.81	5E_control
m84073_231201_024147_s2/241046627/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/263525689/ccs	664	43.98	25.66	5E_control
m84073_231201_024147_s2/252318030/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/252382975/ccs	665	43.61	39.96	5E_control
m84073_231201_024147_s2/252318079/ccs	665	43.61	39.99	5E_control
m84073_231201_024147_s2/235475469/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/246681768/ccs	483	48.24	37.91	5E_control
m84073_231201_024147_s2/246617919/ccs	485	48.45	40.00	5E_control
m84073_231201_024147_s2/258018903/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/258018983/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/246746745/ccs	482	48.34	35.12	5E_control
m84073_231201_024147_s2/263654869/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/258019790/ccs	482	48.34	38.11	5E_control
m84073_231201_024147_s2/235475505/ccs	665	43.61	39.97	5E_control
m84073_231201_024147_s2/246680841/ccs	481	48.02	29.42	5E_control
m84073_231201_024147_s2/263590010/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/241111320/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/263590045/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/263590117/ccs	664	43.83	36.01	5E_control
m84073_231201_024147_s2/246747280/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/246746332/ccs	483	48.24	40.00	5E_control
m84073_231201_024147_s2/241176585/ccs	723	42.60	40.00	5E_control
m84073_231201_024147_s2/263655024/ccs	484	48.35	39.98	5E_control
m84073_231201_024147_s2/252383574/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235541329/ccs	665	43.76	40.00	5E_control
m84073_231201_024147_s2/246748754/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/258085503/ccs	663	43.59	40.00	5E_control
m84073_231201_024147_s2/246811690/ccs	482	48.55	40.00	5E_control
