#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/235411015/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/246615611/ccs	330	44.55	33.85	5B
m84073_231201_024147_s2/263460270/ccs	950	38.74	35.74	5B
m84073_231201_024147_s2/240979376/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241044811/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241045285/ccs	587	52.30	40.00	5B
m84073_231201_024147_s2/241044655/ccs	949	38.88	36.86	5B
m84073_231201_024147_s2/240981269/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/241110095/ccs	948	38.82	29.37	5B
m84073_231201_024147_s2/252383034/ccs	1218	51.07	40.00	5B
m84073_231201_024147_s2/246683273/ccs	350	44.00	40.00	5B
m84073_231201_024147_s2/246746373/ccs	949	38.78	39.99	5B
m84073_231201_024147_s2/246682585/ccs	331	44.41	39.97	5B
m84073_231201_024147_s2/246681632/ccs	252	42.06	40.00	5B
m84073_231201_024147_s2/241177062/ccs	948	38.82	40.00	5B
m84073_231201_024147_s2/263655822/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/241176790/ccs	949	38.78	39.99	5B
m84073_231201_024147_s2/241176308/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/241177531/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/252383420/ccs	949	38.88	31.14	5B
m84073_231201_024147_s2/258084506/ccs	350	44.00	40.00	5B
m84073_231201_024147_s2/241177576/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/258085541/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/235541929/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258084116/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241242613/ccs	949	38.78	19.51	5B
m84073_231201_024147_s2/241242380/ccs	949	38.78	36.83	5B
m84073_231201_024147_s2/241241906/ccs	350	42.29	22.91	5B
m84073_231201_024147_s2/241242412/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/252449054/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/252448680/ccs	1028	40.18	40.00	5B
m84073_231201_024147_s2/241243967/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/252449014/ccs	949	38.78	37.39	5B
m84073_231201_024147_s2/241372456/ccs	949	38.88	31.83	5B
m84073_231201_024147_s2/263786517/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/241307791/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/263787516/ccs	349	42.41	39.97	5B
m84073_231201_024147_s2/258150295/ccs	949	38.88	38.26	5B
m84073_231201_024147_s2/235607837/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/252515803/ccs	349	42.69	40.00	5B
m84073_231201_024147_s2/258215551/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/241375025/ccs	349	42.41	39.03	5B
m84073_231201_024147_s2/263853042/ccs	350	42.57	40.00	5B
m84073_231201_024147_s2/263852603/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/258214917/ccs	949	38.88	39.73	5B
m84073_231201_024147_s2/252515019/ccs	331	44.41	39.97	5B
m84073_231201_024147_s2/246943738/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/258215407/ccs	949	38.78	39.18	5B
m84073_231201_024147_s2/263852209/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258216807/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258216577/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/263917044/ccs	330	44.24	21.97	5B
m84073_231201_024147_s2/247009077/ccs	949	38.88	37.96	5B
m84073_231201_024147_s2/235672527/ccs	350	44.00	40.00	5B
m84073_231201_024147_s2/247010449/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/263918358/ccs	949	38.88	39.90	5B
m84073_231201_024147_s2/263918091/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258346139/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/258346564/ccs	350	42.29	37.21	5B
m84073_231201_024147_s2/252581478/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/235801716/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241437730/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/235737178/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/235738634/ccs	949	38.88	39.90	5B
m84073_231201_024147_s2/263982600/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/263983368/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/247140780/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/258412328/ccs	950	38.74	39.90	5B
m84073_231201_024147_s2/252710316/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/241503933/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/235803229/ccs	951	38.80	39.11	5B
m84073_231201_024147_s2/264048694/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/264048946/ccs	950	38.74	39.91	5B
m84073_231201_024147_s2/252712390/ccs	950	38.84	30.24	5B
m84073_231201_024147_s2/241504426/ccs	947	38.86	36.87	5B
m84073_231201_024147_s2/247141514/ccs	1218	51.07	39.34	5B
m84073_231201_024147_s2/241505037/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/247142135/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/241504722/ccs	349	42.69	40.00	5B
m84073_231201_024147_s2/235804489/ccs	82	40.24	40.00	5B
m84073_231201_024147_s2/264049440/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/252776670/ccs	948	38.82	39.72	5B
m84073_231201_024147_s2/235867299/ccs	948	38.92	32.02	5B
m84073_231201_024147_s2/241569599/ccs	950	38.95	40.00	5B
m84073_231201_024147_s2/252777158/ccs	349	42.41	25.18	5B
