	5A	5B	5D	5E_control
5A	0	1.314094993142394	1.401810021007544	1.136499017861323
5B	1.314094993142394	0	0.2292690427420589	0.6411519189798068
5D	1.401810021007544	0.2292690427420589	0	0.6821388515367707
5E_control	1.136499017861323	0.6411519189798068	0.6821388515367707	0
