	5A	5B	5D	5E_control
5A	0	0.9305347774066541	0.9426451281646226	0.9807521261547786
5B	0.9305347774066541	0	0.5439595498689913	0.8187912487376586
5D	0.9426451281646226	0.5439595498689913	0	0.7602674711030981
5E_control	0.9807521261547786	0.8187912487376586	0.7602674711030981	0
