sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
5A	32834	31050	94.57	30509	30227	92.06
5B	37585	36054	95.93	35958	35643	94.83
5C	1422	1148	80.73	939	920	64.7
5D	80993	77704	95.94	77627	76408	94.34
5E_control	57305	55503	96.86	55446	44750	78.09
